estimate,se,lower,upper,p,df,m,within_variance,between_variance,term,scale,ratio,ratio_lower,ratio_upper
-0.04728941759015795,0.07465613336275033,-0.1936127538300055,0.0990339186496896,0.526453030655397,48872110.92048594,2,0.00557274098782928,5.315072316557723e-07,icas_2,HR,0.9538113078694985,0.8239769244030665,1.1041037486320382
0.022054985690486105,0.07477148511282303,-0.12449443461597673,0.16860440599694895,0.7680204685649046,73455943.76872556,2,0.00559012266920975,4.348778449101619e-07,prior_bp_med_2,HR,1.0222999947961402,0.8829431752705554,1.1836518007401153
0.16598887049186256,0.09573422790700611,-0.021646768295401297,0.3536245092791264,0.0829445541301187,127405082108.6396,2,0.009165016716138542,1.7117874698041398e-08,discharge_bp_med_2,HR,1.1805599625984498,0.9785858415529376,1.424220304555733
0.011849485249920341,0.09958019073558297,-0.18332410216633982,0.20702307266618047,0.9052797908092335,265908769712.4567,2,0.00991619515692211,1.2820008649140606e-08,mrs3_1,HR,1.0119199685219733,0.8324982975069385,1.2300109510854311
-0.011942439391971395,0.10056022609186821,-0.20903686230982801,0.18515198352588522,0.9054662330434686,158974905.62812608,2,0.010111557046115105,5.346836883639535e-07,mrs3_2,HR,0.9881285885073814,0.8113653262921094,1.2034013234059069
-0.17420774658558502,0.15144878404818457,-0.47104190883554914,0.1226264156643791,0.2500306337219547,27346143374.06386,2,0.022936595487413343,9.246817353270974e-08,mrs3_3,HR,0.8401223469788468,0.6243514120224622,1.130462019148686
-0.1294375672349331,0.17724498199024047,-0.4768313483768543,0.2179562139069881,0.465222147734063,701532308896.6656,2,0.03141574613270759,2.500534205005358e-08,mrs3_4,HR,0.8785894394720418,0.6207472104904747,1.2435326169921497
-0.23344602466687653,0.24216306591896658,-0.708076913254686,0.2411848639209329,0.33504420973289706,573996607.1432269,2,0.0586405027785782,1.6318111303739427e-06,mrs3_5,HR,0.7918003322735795,0.49259058159824326,1.2727563002816185
-0.013275948583934164,0.04196681950280985,-0.095529403853541,0.06897750668567268,0.7517414713615402,199749995.24169463,2,0.001761089324639544,8.307636125168852e-08,icv_ml,HR,0.9868117881296025,0.9088916363441999,1.0714121092679563
0.059121141444046725,0.05648378919835871,-0.05158505109969138,0.16982733398778482,0.2952415634716206,29113520138.01691,2,0.003190399743983676,1.2465480632115207e-08,sbp3_x_wmh_ml,HR,1.0609037523685163,0.9497228715524744,1.1851002071264856
-0.07797946818952604,0.06264200609369515,-0.20075554406074697,0.04479660768169487,0.21318943487376704,18034803747.679096,2,0.00392399170775251,1.9479793352861647e-08,sbp3_rcs_x_wmh_ml,HR,0.9249834179328034,0.8181123995462275,1.0458151275120793
